frame.time_epoch,ip.src,ip.dst,frame.protocols,frame.len
1686068499.891542000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,140
1686068499.891616000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,108
1686068499.893071000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,116
1686068499.893108000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,124
1686068499.894519000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,252
1686068499.898410000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068499.898527000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068499.900902000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068499.900977000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068499.912935000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068503.671404000,10.184.0.2,142.251.12.95,sll:ethertype:ip:tcp,72
1686068503.671416000,10.184.0.2,142.251.12.95,sll:ethertype:ip:tcp,72
1686068503.672179000,142.251.12.95,10.184.0.2,sll:ethertype:ip:tcp,72
1686068503.672179000,142.251.12.95,10.184.0.2,sll:ethertype:ip:tcp,72
1686068504.614836000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp:ssh,108
1686068504.615128000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,108
1686068504.631965000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068504.883863000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp:ssh,108
1686068504.884141000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,108
1686068504.901926000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068505.059471000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp:ssh,108
1686068505.059740000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,108
1686068505.082040000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068505.675634000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp:ssh,108
1686068505.676287000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,124
1686068505.702139000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068505.990140000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,116
1686068505.990544000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,140
1686068506.018885000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,116
1686068506.018973000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,116
1686068506.019013000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,132
1686068506.020383000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,108
1686068506.057800000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.057803000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.057803000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.058131000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.058253000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.058574000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.240857000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,148
1686068506.240936000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,108
1686068506.305638000,10.184.0.2,169.254.169.254,sll:ethertype:ip:udp:dns,84
1686068506.305646000,10.184.0.2,169.254.169.254,sll:ethertype:ip:udp:dns,84
1686068506.307789000,169.254.169.254,10.184.0.2,sll:ethertype:ip:udp:dns,212
1686068506.307792000,169.254.169.254,10.184.0.2,sll:ethertype:ip:udp:dns,196
1686068506.311181000,10.184.0.2,172.253.118.95,sll:ethertype:ip:tcp,80
1686068506.311970000,172.253.118.95,10.184.0.2,sll:ethertype:ip:tcp,80
1686068506.311993000,10.184.0.2,172.253.118.95,sll:ethertype:ip:tcp,72
1686068506.312405000,10.184.0.2,172.253.118.95,sll:ethertype:ip:tcp:tls,448
1686068506.312500000,172.253.118.95,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.323350000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp,108
1686068506.325811000,172.253.118.95,10.184.0.2,sll:ethertype:ip:tcp:tls,4760
1686068506.325824000,10.184.0.2,172.253.118.95,sll:ethertype:ip:tcp,72
1686068506.330020000,10.184.0.2,172.253.118.95,sll:ethertype:ip:tcp:tls,1306
1686068506.334896000,172.253.118.95,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.351759000,172.253.118.95,10.184.0.2,sll:ethertype:ip:tcp:tls,1430
1686068506.351760000,172.253.118.95,10.184.0.2,sll:ethertype:ip:tcp:tls,99
1686068506.351795000,10.184.0.2,172.253.118.95,sll:ethertype:ip:tcp,72
1686068506.351869000,172.253.118.95,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.356268000,10.184.0.2,172.253.118.95,sll:ethertype:ip:tcp:tls,96
1686068506.356391000,172.253.118.95,10.184.0.2,sll:ethertype:ip:tcp,60
1686068506.363775000,10.184.0.2,169.254.169.254,sll:ethertype:ip:udp:dns,88
1686068506.363782000,10.184.0.2,169.254.169.254,sll:ethertype:ip:udp:dns,88
1686068506.364989000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.364990000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.365061000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,84
1686068506.365719000,169.254.169.254,10.184.0.2,sll:ethertype:ip:udp:dns,200
1686068506.366133000,169.254.169.254,10.184.0.2,sll:ethertype:ip:udp:dns,216
1686068506.366361000,10.184.0.2,34.101.5.48,sll:ethertype:ip:tcp,80
1686068506.366980000,34.101.5.48,10.184.0.2,sll:ethertype:ip:tcp,80
1686068506.366992000,10.184.0.2,34.101.5.48,sll:ethertype:ip:tcp,72
1686068506.367206000,10.184.0.2,34.101.5.48,sll:ethertype:ip:tcp:tls,452
1686068506.367316000,34.101.5.48,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.367829000,34.101.5.48,10.184.0.2,sll:ethertype:ip:tcp:tls,4385
1686068506.367837000,10.184.0.2,34.101.5.48,sll:ethertype:ip:tcp,72
1686068506.370549000,10.184.0.2,34.101.5.48,sll:ethertype:ip:tcp:tls,1556
1686068506.370654000,34.101.5.48,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.425675000,34.101.5.48,10.184.0.2,sll:ethertype:ip:tcp:tls,1480
1686068506.425676000,34.101.5.48,10.184.0.2,sll:ethertype:ip:tcp:tls,1480
1686068506.425677000,34.101.5.48,10.184.0.2,sll:ethertype:ip:tcp:tls,1480
1686068506.425677000,34.101.5.48,10.184.0.2,sll:ethertype:ip:tcp:tls,730
1686068506.425729000,10.184.0.2,34.101.5.48,sll:ethertype:ip:tcp,72
1686068506.435750000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,148
1686068506.435825000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,108
1686068506.436159000,10.184.0.2,34.101.5.48,sll:ethertype:ip:tcp,72
1686068506.436285000,34.101.5.48,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.436304000,10.184.0.2,34.101.5.48,sll:ethertype:ip:tcp,72
1686068506.443427000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,132
1686068506.448718000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.448720000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.454383000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,116
1686068506.454398000,10.184.0.2,125.160.228.36,sll:ethertype:ip:tcp:ssh,164
1686068506.459922000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.460040000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
1686068506.471777000,125.160.228.36,10.184.0.2,sll:ethertype:ip:tcp,72
