frame.time_epoch,ip.src,ip.dst,frame.protocols,frame.len
1686116612.843390000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,148
1686116612.843943000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,204
1686116612.861927000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686116612.901455000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686116612.909334000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp,72
1686116613.511142000,205.210.31.154,10.184.0.7,sll:ethertype:ip:tcp,64
1686116613.511161000,10.184.0.7,205.210.31.154,sll:ethertype:ip:tcp,60
1686116613.918771000,143.42.1.191,10.184.0.7,sll:ethertype:ip:tcp,64
1686116613.918788000,10.184.0.7,143.42.1.191,sll:ethertype:ip:tcp,60
1686116614.452414000,120.188.7.2,10.184.0.7,sll:ethertype:ip:tcp:ssh,108
1686116614.452846000,10.184.0.7,120.188.7.2,sll:ethertype:ip:tcp:ssh,260
1686116614.477353000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,80
1686116614.477368000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,80
1686116614.477374000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686116614.477554000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp:http,355
1686116614.477563000,127.0.0.1,127.0.0.1,sll:ethertype:ip:tcp,72
1686116614.479016000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,102
1686116614.479053000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,102
1686116614.479067000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,102
1686116614.479069000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,102
1686116614.479090000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp:data,192
1686116614.479097000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,102
1686116614.479102000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp:data,192
1686116614.479127000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,192
1686116614.479140000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,192
1686116614.479156000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,102
1686116614.479168000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,102
1686116614.479185000,10.184.0.7,10.128.0.4,sll:ethertype:ip:tcp:data,192
1686116614.479225000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp:data,192
1686116614.479233000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp:data,192
1686116614.480026000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,122
1686116614.480032000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,84
1686116614.480058000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480058000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,123
1686116614.480063000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,84
1686116614.480099000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,153
1686116614.480100000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,184
1686116614.480105000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,84
1686116614.480108000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,84
1686116614.480111000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480111000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480139000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,152
1686116614.480154000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116614.480156000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116614.480158000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116614.480164000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480164000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480164000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp,102
1686116614.480167000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116614.480168000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,84
1686116614.480171000,10.184.0.9,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116614.480173000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp,72
1686116614.480206000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116614.480206000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,122
1686116614.480206000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,123
1686116614.480223000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,214
1686116614.480223000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116614.480223000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116614.480224000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,122
1686116614.480227000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116614.480229000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,72
1686116614.480230000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480230000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480230000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116614.480232000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116614.480282000,10.184.0.11,10.184.0.7,sll:ethertype:ip:tcp:data,214
1686116614.480316000,10.184.0.12,10.184.0.7,sll:ethertype:ip:tcp:data,295
1686116614.480323000,10.184.0.7,10.184.0.12,sll:ethertype:ip:tcp,72
1686116614.480330000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480330000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480330000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,102
1686116614.480330000,10.184.0.10,10.184.0.7,sll:ethertype:ip:tcp:data,122
1686116614.480338000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,102
1686116614.480339000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,122
1686116614.480339000,10.184.0.13,10.184.0.7,sll:ethertype:ip:tcp,214
1686116614.480339000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp,72
1686116614.480339000,10.184.0.14,10.184.0.7,sll:ethertype:ip:tcp:data,123
1686116614.480343000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,84
1686116614.480345000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,84
1686116614.480346000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp,84
1686116614.480350000,10.184.0.7,10.184.0.14,sll:ethertype:ip:tcp,84
1686116614.480355000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,102
1686116614.480356000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,102
1686116614.480361000,10.184.0.7,10.184.0.9,sll:ethertype:ip:tcp:data,122
1686116614.480362000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,122
1686116614.480373000,10.184.0.7,10.184.0.10,sll:ethertype:ip:tcp,72
1686116614.480383000,10.184.0.7,10.184.0.11,sll:ethertype:ip:tcp,72
1686116614.480386000,10.184.0.7,10.184.0.13,sll:ethertype:ip:tcp:data,153
