Start (ns),Stop (ns),Duration (ns),CID
1678732552936,1678732638186,85250,QmQQPfA64vd68URVRasnmnkdeNfzKgV3DgmfT2ScZbziF2
1678732922630,1678732926375,3745,QmWQ9GEdaodhuS5YnHp3WFSH84jvvoVcS8zWqmtPnurXpk
1678733082765,1678733085402,2637,QmW77tjZctqLyNy3XcRiBwK2yn27jVqXpYmbAnB7bFhuVg
1678733224270,1678733226341,2071,QmSWjm39g3P85btX7ikgahHxiAWyafJMjTnkZYejyd9Xi3
1678733371898,1678733377928,6030,QmaCroBem53KFYVyVZnTfx5BjWPLf3u9hV9tJTyBWVCSGS
1678733629415,1678733633655,4240,QmTJvz8kzfWoogkM11TFk3K1SmXejWsMp5mziUKmEA2YPw
1678733779048,1678733782506,3458,QmWCU1nhZHuf6e2W3CkjB3xskcndyJwm6oZ4Qynxtm4yb9
1678733906432,1678733913066,6634,QmdxKuW2xNXT6Ff4VsQuEMzbzBBBFQHadsrcDtK86tpu2n
1678734049205,1678734052102,2897,QmZb2pfi7gAeu17AhVYiL82af4qRWACcCV9mTE9Y6AtF21
1678734280910,1678734284231,3321,Qmf6GwNnQRNA2HQhMKDPHh3fogxa4JWgsiswCCU1nbmeg7
1678734406590,1678734408292,1702,QmYgGgrUa5RQTP3h3jrJCw6cD3cr1fo7yuiwyMzhmimM1S
1678734666025,1678734672693,6668,QmZJSwv5CkHrxtD3AFroa7AKzqfnzFmCv9Fmc8Lfpv4WqS
1678734787202,1678734788985,1783,QmYC6TgQ9RRxfqBtu1zXY1myoG17S2tsGk21xwbtAkyGsz
1678734888941,1678734890420,1479,QmTKjH45FU9aKfAgcdZBHB8pGPfkcxRtspLsAkFF9qfUvM
1678735005374,1678735007788,2414,QmegEQGM95W5Noh3V3Hw7VWxxpt9eyBuFC7ae5ygH2gY5Z
1678735100763,1678735102277,1514,QmViKzrVyJuj6MMtmsQ5KjkfErqZfR86Sd1gD7fnBXozqx
1678735187433,1678735188809,1376,QmerFNp6qWLBFDBeeqFa9TbFrm84SoobEbm2tqEbkBrkGy
1678735389837,1678735392319,2482,QmR7yKs87PoY6AQkG8r2Lo425nA1pmbwC6UB4pdoAPYUgt
1678735504855,1678735506402,1547,QmZcmAgsFXWvbxz5Gvpmgx8CFHu7tvfJ1dqv7Lc5sXbj9N
1678735607949,1678735609427,1478,QmWqT7fiEYkoDWt2SeV2WYCSBZoVtVvBZZ2BL5RDR23NUH
