Start (ns),Stop (ns),Duration (ns),CID
8145830135619,8147767717772,1937582153,QmZrRjN25ciK5erpaD1uTJYfD5RvG3JhoiJjqHRmMNYJxr
8150784598077,8152692210970,1907612893,QmdxfgPyXwhXmtoxwNRZNSCJm2UELY5ki8dQeqq11Rq3qb
8155711142914,8156782626548,1071483634,QmV8XYGybKxR1u2grmNMBgS2jG9mC4kDuhAEEq5jGaXMGa
8159803057146,8160897474741,1094417595,QmRMG2Ny1MknCwPkZBU1ZMD3FSsy1Q5eJUgYEr1PSgFd9R
8163910877723,8166101998544,2191120821,QmVuf5g7b3fhKBBMxdyq9iYTvbM7qyeDoVipdZjHJRdvEB
8169121202946,8171218107037,2096904091,Qmb2HBa72EtiTuYDytuJs4acGwU2vT99BAdHL1EFAbkjkB
8174235177907,8177568925238,3333747331,QmZsuUknXiPd58bftXSJdWLmW42jYguRd5A3FX8LHGS3Ee
8180617452398,8183127897963,2510445565,QmTTAaNU5uPQjpynAFKrBFSbqLv6Qu9w4Sqen2rxvJbFgC
8186143262784,8192605100892,6461838108,QmfEgHZSaGMCDdjEEXtM49mFxkm1RVro3XkgKSMGEYqcir
8195618562636,8196782297377,1163734741,QmSQddHbqUQdMa5Qs6dFxcdTfmeczdui2KDgGZ9RkNGLdE
8199795655761,8202025923385,2230267624,QmeSys9n1nquzk1vE35zXrMZb66TN7f4rNDQp5YdL3Yz23
8205051309983,8207746161460,2694851477,QmSygcdMf86deewedfKqa9sAewjRP6dm89wu3z6bH7K7NR
8210761670486,8215778959299,5017288813,QmeFBsi3nr9NAtno1hy1FDUL45T4a3WjoLYC3WKCLnsTUv
8218794566683,8223159894441,4365327758,QmaeVSX8dPQppv3JPoaFrpDfth4o5GYwUh22ax7kYNw3qh
8226175687173,8231899769840,5724082667,Qmbqgp6PuaXkb6JNBqGSKEPic2JmSkL8XiWFAiBDDLann5
8234914689389,8241478833256,6564143867,QmV8x7xY3P93FYsPfEB4pCBXGcbNVBeCnB5Lbkjz8XjNQW
8244498959477,8257463815866,12964856389,QmfK4yZ2Mm9KivZnRP6C5jb2NkkAJ8FNwZeaXNq8YGEZDd
8260479197219,8267388847605,6909650386,QmTBEd3pQSGtHeb56b7rwRYbhEghdiG8ejofewxvDumvsD
8270533261302,8279879264656,9346003354,Qmcd71weqbh7Kc2ksknLhrT7r7m91kow1FezJFUgMVadvc
8283031080115,8298136635933,15105555818,QmdK2Wdg6q2barkKz6fYbsF1ofV2qEzd7eGP1A6saynkWy
