Start (ns),Stop (ns),Duration (ns)
610457549767,610556531965,98982198
610562051733,610664936555,102884822
610670039483,610775777079,105737596
610780705601,610880122407,99416806
610882868590,610967246541,84377951
610971735745,611068340496,96604751
611073142403,611168282401,95139998
611171158302,611277395916,106237614
611280601083,611366875447,86274364
611369548586,611460236444,90687858
611463386589,611558184118,94797529
611561140898,611653131941,91991043
611656241394,611751505109,95263715
611754136805,611861804265,107667460
611864522063,611966486435,101964372
611969255358,612076336723,107081365
612079272853,612183125341,103852488
612185854948,612286227617,100372669
612288890501,612396519034,107628533
612399243671,612501642738,102399067
612506129673,612612545138,106415465
612615369817,612707208712,91838895
612710040703,612811068559,101027856
612814009457,612906177675,92168218
612910643378,613005647705,95004327
613008321607,613096487319,88165712
613099235682,613193482483,94246801
613196347740,613292358140,96010400
613295059245,613389832970,94773725
613392809611,613491382726,98573115
613494021689,613593179603,99157914
613596172903,613692464821,96291918
613695487624,613791911976,96424352
613794588130,613892463979,97875849
613895048429,613990941097,95892668
613993607487,614087755266,94147779
614090363628,614184360371,93996743
614187053455,614293794810,106741355
614296529037,614398842731,102313694
614401660341,614522448462,120788121
614525086131,614681821388,156735257
614684648980,614777748499,93099519
614780759414,614893155943,112396529
614895921528,614990630384,94708856
614993284372,615102017215,108732843
615104799369,615201437561,96638192
615204055355,615307514139,103458784
615310249178,615406750483,96501305
615409393083,615512378518,102985435
615515193990,615621360018,106166028
615624210961,615722494628,98283667
615725146655,615820140070,94993415
615822797119,615923556789,100759670
615927771711,616028415538,100643827
616031206282,616132507964,101301682
616135793091,616249307698,113514607
616252670478,616352618585,99948107
616356817180,616459420328,102603148
616462097257,616559531964,97434707
616562424430,616658927892,96503462
616661791765,616764597511,102805746
616768556085,616874773457,106217372
616877593000,616987325378,109732378
616990254497,617090191241,99936744
617093001802,617192510671,99508869
617195325553,617290854984,95529431
617293724452,617390372025,96647573
617393109841,617501998815,108888974
617504884403,617602457114,97572711
617605178238,617702700853,97522615
617705396720,617798012557,92615837
617800728621,617903849732,103121111
617906535973,618005384119,98848146
618008043590,618106745208,98701618
618109462789,618198767525,89304736
618201425785,618302899863,101474078
618305678736,618392477879,86799143
618395316184,618488008124,92691940
618491139954,618590594151,99454197
618593659726,618688667525,95007799
618691547299,618790109367,98562068
618792896027,618894649172,101753145
618897456412,618986037551,88581139
618988944397,619085458099,96513702
619088588528,619196695605,108107077
619200034200,619368270696,168236496
619371158855,619490263879,119105024
619493048294,619592395896,99347602
619595364214,619687651383,92287169
619690438140,619787344890,96906750
619790177576,619881744396,91566820
619884464487,619964695585,80231098
619967558000,620134863852,167305852
620137660806,620209742513,72081707
620212466780,620308773158,96306378
620311544721,620421378956,109834235
620424219060,620506722973,82503913
620509430299,620608314890,98884591
620610993789,620720383277,109389488
620723190295,620912596032,189405737
